Player,Teams,Age,Apps,Mins,TotalTackles,DribbledPast,TotalAttemptedTackles,Interception,Fouls,Yellow,Red,Clearance,ShotsBlocked,CrossesBlocked,PassesBlocked,Shots,Goals,Dribbles,UnsuccessfulTouches,Dispossessed,Aerial Won,Key Passes,Assists,Passes in PA,Crs in PA,PrgPasses,SoT,G/SoT,xG,Rating,Value,Z_Score
"Caleb Taylor21, D(C)",Wycombe Wanderers,21,12,1080,1,0.2,1.2,1.9,0.8,0.3,0,3.9,0.5,0,0.5,0.8,0,0.3,0.8,0.2,7.1,0.3,0,0,0,1.67,0.31,0.11,0.67,7.36,600000,0.8579
"Alex Hartridge25, D(C)",Wycombe Wanderers,25,3,270,2,0.7,2.7,0.3,1,0,0,8.2,1.6,0.3,0,0.3,0,0,1,0.3,6.2,0.3,0.3,0,0,0,0.1,0,0,7.3,275000,0.7204
"Daniel Harvie26, D(CL),M(L)",Wycombe Wanderers,26,17,1524,2.1,0.5,2.6,0.8,0.8,0.2,0,2.6,0.4,0.6,0.3,0.8,0.06,0.6,1.1,0.4,2,1.4,0.18,0,0,0,0.17,0.45,0,7.18,450000,0.7202
"Aaron Morley24, DMC",Wycombe Wanderers,24,11,990,0.9,0.6,1.4,1,0.4,0.1,0,1.7,0.4,0.2,0.3,1.3,0.07,0.1,0.4,0.2,0.8,1.6,0.3,0,0,0,0.3,0.28,0,7.12,900000,0.6881
"Tyreeq Bakinson26, DMC",Wycombe Wanderers,26,2,166,1.7,0.2,2.2,1,1.5,0.5,0,1.2,0.2,0,0.7,1.5,0,0.7,1.7,1.5,2.4,1,0,0.73,0.03,5.43,0.38,0.32,0.06,7.11,500000,0.1072
"Jasper Pattenden22, D(R),M(R)",Wycombe Wanderers,22,5,450,2.4,0.2,2.4,0.5,0.9,0,0,4.1,0.3,0.9,1.2,0,0,0.7,1.5,0.3,1,0,0,0,0,0,0,0,0,7,125000,0.4351
"Joe Low22, D(C)",Wycombe Wanderers,22,17,1530,0.5,0.4,0.9,0.6,1.1,0.2,0,4.6,0.4,0.2,0.2,0.4,0.24,0.3,0.3,0.4,3.7,0.4,0,0,0,0,0.26,0.6,0,6.95,275000,0.4362
"Jack Grimmer30, D(CR),M(R)",Wycombe Wanderers,30,12,950,2.3,0.6,3.1,1.2,0.9,0.1,0,3.7,0.5,0.3,0.4,0.3,0,0.3,0.6,0.3,2.2,0.3,0.09,0.89,0.57,2.35,0.09,0.29,0.01,6.69,225000,0.7321
"Matt Butcher27, M(C)",Wycombe Wanderers,27,2,142,1.7,0.8,3.8,0,1.7,0,0,0.8,0.4,0,0.8,0.8,0,0,0,0.4,0.8,0,0,1.05,0,4.47,0,0,0,6.55,400000,0.0032
"Luke Leahy32, D(CL),DMC,M(L)",Wycombe Wanderers,32,1,90,1.3,0.9,4,0.7,1.3,0.1,0,2.1,0.1,0.3,0.9,1.9,0.3,0.7,1,0.6,1.9,1.2,0.15,0,0,0,0.38,0.24,0,6.32,200000,0.6621
"Brooke NortonCuffy(Millwall)20, D(R),M(R)",Genoa,20,40,2280,2.4,0.6,3.1,0.9,0.7,0.2,0,1.5,0.2,0.3,0.9,0.7,0.08,2,2.2,1.8,1.7,0.7,0.2,0.63,0.32,1.94,0.36,0.22,0.08,6.62,4500000,0.7176
